,EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
45,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,916b30cb-91d5-419d-9a8f-fe8348f97b7a,original,"9('addme', 'repr_format', 0)",-1,3,metrics_execution_time,45,45,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
46,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",3,5,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
47,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"3('addme', 'str_format', 0)",1,3,op,str_format,str_format,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",114
48,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",3,0,input_value,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
49,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'FloatingFormat.__init__', 0)",1,2,adaptation_instruction,UseStandardConstructorValues: ,"UseStandardConstructorValues: (1, 1, 1, 1)
",AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
50,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,916b30cb-91d5-419d-9a8f-fe8348f97b7a,original,"9('addme', 'repr_format', 0)",-1,3,metrics_all_branches_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
51,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('create', 'createPythonObject', 0)",8,0,input_value,7,7,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
52,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"1('create', 'createPythonObject', 0)",1,6,adaptation_instruction,No adaptations needed,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 451000), 0)",-1
53,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",2,5,input_value,python.Complex,python.Complex,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 678000), 0)",-1
54,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",3,6,input_value,a,a,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 766000), 0)",-1
55,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",8,6,input_value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 678000), 0)",-1
56,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('__getitem__', '__getitem__', 0)",1,1,op,__getitem__,__getitem__,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
57,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
58,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'createPythonObject', 0)",1,0,op,create,create,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 845000), 0)",-1
59,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"6('create', 'FloatingFormat.__init__', 0)",1,2,error_message,Could not instantiate class,Could not instantiate class,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 943000), 0)",-1
60,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",6,0,input_value,12,12,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
61,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,916b30cb-91d5-419d-9a8f-fe8348f97b7a,original,"8('addme', 'repr_format', 0)",-1,3,metrics_all_lines_in_function,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
62,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"7('create', 'createPythonObject', 0)",1,5,op,create,create,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 982000), 0)",-1
63,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",5,0,input_value,5,5,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
64,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'createPythonObject', 0)",1,5,adaptation_instruction,No adaptations needed,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
65,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('__getitem__', '__getitem__', 0)",1,1,adaptation_instruction,No adaptations needed,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
66,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",4,5,input_value,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 678000), 0)",-1
67,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",5,6,input_value,b,b,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 766000), 0)",-1
68,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
69,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"0('create', 'FloatingFormat.__init__', 0)",3,2,input_value,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 223000), 0)",-1
70,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('__getitem__', '__getitem__', 0)",0,1,value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
71,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"7('create', 'FloatingFormat.__init__', 0)",3,2,input_value,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 982000), 0)",-1
72,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'FloatingFormat.__init__', 0)",0,2,value,UNSUCCESSFUL,UNSUCCESSFUL,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
73,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"9('create', 'createPythonObject', 0)",8,0,input_value,7,7,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 116000), 0)",-1
74,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"6('create', 'createPythonObject', 0)",1,6,op,create,create,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 943000), 0)",-1
75,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",2,0,input_value,python.Array,python.Array,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
